Australian Bureau of Statistics,,
,,
"2016 Census - Counting Employed Persons, Place of Work (POW)",,
SA2 (POW),,
Counting: Persons Aged 15 Years and Over Place of Work,,
,,
Filters:,,
Default Summation,Persons Aged 15 Years and Over Place of Work,
,,
Counting,SA2 (POW),Count
Persons Aged 15 Years and Over Place of Work,Bellingen,1706
Persons Aged 15 Years and Over Place of Work,Coffs Harbour - North,6382
Persons Aged 15 Years and Over Place of Work,Coffs Harbour - South,13114
Persons Aged 15 Years and Over Place of Work,Coramba - Nana Glen - Bucca,563
Persons Aged 15 Years and Over Place of Work,Dorrigo,950
Persons Aged 15 Years and Over Place of Work,Korora - Emerald Beach,1203
Persons Aged 15 Years and Over Place of Work,Sawtell - Boambee,4317
Persons Aged 15 Years and Over Place of Work,Urunga,1149
Persons Aged 15 Years and Over Place of Work,Woolgoolga - Arrawarra,3234
Persons Aged 15 Years and Over Place of Work,Bourke - Brewarrina,1480
Persons Aged 15 Years and Over Place of Work,Cobar,2270
Persons Aged 15 Years and Over Place of Work,Coonamble,1506
Persons Aged 15 Years and Over Place of Work,Nyngan - Warren,2250
Persons Aged 15 Years and Over Place of Work,Walgett - Lightning Ridge,2132
Persons Aged 15 Years and Over Place of Work,Broken Hill,6849
Persons Aged 15 Years and Over Place of Work,Far West,1014
Persons Aged 15 Years and Over Place of Work,Coonabarabran,2626
Persons Aged 15 Years and Over Place of Work,Dubbo - East,6489
Persons Aged 15 Years and Over Place of Work,Dubbo - South,9921
Persons Aged 15 Years and Over Place of Work,Dubbo - West,2102
Persons Aged 15 Years and Over Place of Work,Dubbo Region,1040
Persons Aged 15 Years and Over Place of Work,Gilgandra,1607
Persons Aged 15 Years and Over Place of Work,Narromine,2288
Persons Aged 15 Years and Over Place of Work,Wellington,2338
Persons Aged 15 Years and Over Place of Work,Branxton - Greta - Pokolbin,3989
Persons Aged 15 Years and Over Place of Work,Cessnock,6356
Persons Aged 15 Years and Over Place of Work,Cessnock Region,1640
Persons Aged 15 Years and Over Place of Work,Dungog,2155
Persons Aged 15 Years and Over Place of Work,Kurri Kurri - Abermain,3337
Persons Aged 15 Years and Over Place of Work,Singleton,8148
Persons Aged 15 Years and Over Place of Work,Singleton Region,6899
Persons Aged 15 Years and Over Place of Work,Maitland,6462
Persons Aged 15 Years and Over Place of Work,Maitland - East,7635
Persons Aged 15 Years and Over Place of Work,Maitland - North,991
Persons Aged 15 Years and Over Place of Work,Maitland - West,7496
Persons Aged 15 Years and Over Place of Work,Thornton - Millers Forest,3848
Persons Aged 15 Years and Over Place of Work,Anna Bay,798
Persons Aged 15 Years and Over Place of Work,Lemon Tree Passage - Tanilba Bay,793
Persons Aged 15 Years and Over Place of Work,Nelson Bay Peninsula,6759
Persons Aged 15 Years and Over Place of Work,Raymond Terrace,9896
Persons Aged 15 Years and Over Place of Work,Seaham - Woodville,738
Persons Aged 15 Years and Over Place of Work,Tea Gardens - Hawks Nest,1106
Persons Aged 15 Years and Over Place of Work,Williamtown - Medowie - Karuah,6522
Persons Aged 15 Years and Over Place of Work,Muswellbrook,7465
Persons Aged 15 Years and Over Place of Work,Muswellbrook Region,2035
Persons Aged 15 Years and Over Place of Work,Scone,2792
Persons Aged 15 Years and Over Place of Work,Scone Region,2243
Persons Aged 15 Years and Over Place of Work,Dapto - Avondale,4625
Persons Aged 15 Years and Over Place of Work,Horsley - Kembla Grange,850
Persons Aged 15 Years and Over Place of Work,Port Kembla Industrial,3264
Persons Aged 15 Years and Over Place of Work,Unanderra - Mount Kembla,8861
Persons Aged 15 Years and Over Place of Work,Berkeley - Lake Heights - Cringila,1584
Persons Aged 15 Years and Over Place of Work,Port Kembla - Warrawong,7899
