INDP Industry of Employment,"Agriculture, Forestry and Fishing, nfd",Agriculture,Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing Support Services","Mining, nfd",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Non-Metallic Mineral Mining and Quarrying,Exploration and Other Mining Support Services,"Manufacturing, nfd",Food Product Manufacturing,Beverage and Tobacco Product Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Wood Product Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Printing (including the Reproduction of Recorded Media),Petroleum and Coal Product Manufacturing,Basic Chemical and Chemical Product Manufacturing,Polymer Product and Rubber Product Manufacturing,Non-Metallic Mineral Product Manufacturing,Primary Metal and Metal Product Manufacturing,Fabricated Metal Product Manufacturing,Transport Equipment Manufacturing,Machinery and Equipment Manufacturing,Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services, nfd",Electricity Supply,Gas Supply,"Water Supply, Sewerage and Drainage Services","Waste Collection, Treatment and Disposal Services","Construction, nfd",Building Construction,Heavy and Civil Engineering Construction,Construction Services,"Wholesale Trade, nfd",Basic Material Wholesaling,Machinery and Equipment Wholesaling,Motor Vehicle and Motor Vehicle Parts Wholesaling,"Grocery, Liquor and Tobacco Product Wholesaling",Other Goods Wholesaling,Commission-Based Wholesaling,"Retail Trade, nfd",Motor Vehicle and Motor Vehicle Parts Retailing,Fuel Retailing,Food Retailing,Other Store-Based Retailing,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,"Accommodation and Food Services, nfd",Accommodation,Food and Beverage Services,"Transport, Postal and Warehousing, nfd",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Postal and Courier Pick-up and Delivery Services,Transport Support Services,Warehousing and Storage Services,"Information Media and Telecommunications, nfd",Publishing (except Internet and Music Publishing),Motion Picture and Sound Recording Activities,Broadcasting (except Internet),Internet Publishing and Broadcasting,Telecommunications Services,"Internet Service Providers, Web Search Portals and Data Processing Services",Library and Other Information Services,"Financial and Insurance Services, nfd",Finance,Insurance and Superannuation Funds,Auxiliary Finance and Insurance Services,"Rental, Hiring and Real Estate Services, nfd",Rental and Hiring Services (except Real Estate),Property Operators and Real Estate Services,"Professional, Scientific and Technical Services, nfd","Professional, Scientific and Technical Services (except Computer System Design and Related Services)",Computer System Design and Related Services,"Administrative and Support Services, nfd",Administrative Services,"Building Cleaning, Pest Control and Other Support Services","Public Administration and Safety, nfd",Public Administration,Defence,"Public Order, Safety and Regulatory Services","Education and Training, nfd",Preschool and School Education,Tertiary Education,"Adult, Community and Other Education","Health Care and Social Assistance, nfd",Hospitals,Medical and Other Health Care Services,Residential Care Services,Social Assistance Services,"Arts and Recreation Services, nfd",Heritage Activities,Creative and Performing Arts Activities,Sports and Recreation Activities,Gambling Activities,"Other Services, nfd",Repair and Maintenance,Personal and Other Services,Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use,Inadequately described,Not stated,Not applicable,Total
Main Statistical Area Structure (Main ASGS) (POW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queenscliff,0,22,3,0,4,0,0,0,0,0,4,0,3,10,3,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,4,52,3,63,0,0,4,0,3,4,0,10,0,3,66,88,0,0,113,179,6,10,0,31,0,8,3,28,0,0,8,0,0,0,4,0,0,5,13,0,7,0,0,31,0,78,3,0,16,20,0,127,171,15,3,44,3,9,3,0,53,81,46,0,11,10,28,0,0,9,23,5,18,0,0,1581
Torquay,0,65,0,0,0,5,0,0,0,0,0,0,18,31,4,90,6,0,7,0,4,10,3,0,10,9,3,21,0,0,0,0,8,7,226,10,342,6,49,3,0,10,396,0,23,0,10,238,333,0,0,219,377,0,10,0,0,4,7,22,0,0,0,22,11,6,0,5,0,3,6,37,16,11,0,13,73,0,245,19,0,48,48,0,233,0,20,0,192,17,44,10,27,136,65,57,0,10,20,40,0,0,33,118,3,34,0,0,4226
Alexandra,4,232,33,26,0,15,0,0,0,0,0,0,9,28,3,11,11,4,7,0,0,0,8,3,0,34,3,6,0,13,0,23,6,0,66,9,129,3,26,0,0,7,4,3,5,7,21,123,121,0,0,149,125,3,50,0,0,0,0,11,3,0,0,0,0,0,0,4,0,3,0,20,3,4,0,8,27,0,52,8,0,9,30,0,229,0,20,3,134,12,122,5,73,57,112,46,0,8,5,44,0,0,32,30,0,18,7,0,2458
Euroa,3,507,0,3,0,9,0,0,0,0,6,0,15,20,8,6,8,0,9,0,0,0,29,0,8,6,4,0,0,0,0,0,8,0,26,17,66,0,32,0,3,4,0,4,12,10,23,71,65,0,0,20,91,0,48,0,0,0,0,12,0,0,0,4,0,0,0,0,0,9,0,17,4,3,0,0,13,0,64,7,0,3,16,0,97,0,9,0,115,6,8,6,62,50,63,35,0,5,0,53,0,0,28,32,0,18,3,0,1883
Kilmore - Broadford,0,77,0,0,0,6,0,0,0,0,23,0,26,234,3,8,23,21,7,0,5,0,41,12,13,0,14,3,0,3,3,4,10,11,73,67,188,3,34,8,4,0,4,5,12,34,11,148,157,0,0,22,136,5,82,11,0,0,0,27,0,0,0,29,0,0,0,0,0,0,0,23,0,9,0,6,32,0,131,10,0,16,58,0,218,0,42,5,432,8,30,17,166,137,69,124,0,3,5,73,5,0,62,60,0,24,0,0,3376
Mansfield (Vic.),0,296,0,7,0,16,0,0,0,19,20,0,15,31,16,3,7,0,0,0,0,0,8,23,3,11,15,16,0,7,0,0,8,5,78,15,181,0,37,3,0,14,3,0,39,17,24,167,181,0,0,412,304,3,88,0,0,4,15,22,3,0,0,14,9,0,0,4,0,0,0,22,0,5,0,58,27,0,120,13,0,21,51,0,131,5,36,4,269,3,310,17,146,87,11,62,0,5,3,31,3,0,54,59,0,36,0,0,3779
Nagambie,0,308,0,0,0,6,0,0,0,0,0,0,4,41,140,0,0,0,0,0,7,0,3,0,0,10,9,0,0,0,0,4,0,3,50,19,40,0,9,7,0,14,0,0,3,0,8,48,27,0,0,33,105,0,24,0,0,7,0,10,17,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,21,5,0,8,33,0,17,49,16,0,36,0,27,3,6,24,27,6,0,0,4,15,0,0,13,11,0,14,0,0,1290
Seymour,0,63,0,0,0,8,0,0,0,9,3,0,12,63,0,7,11,0,3,0,0,0,5,16,9,12,11,3,0,29,0,19,10,3,22,22,52,5,22,4,3,19,3,0,28,46,22,195,164,0,0,43,192,3,90,37,0,0,3,71,6,0,0,12,0,0,0,7,0,0,0,29,0,5,0,11,17,0,64,0,0,34,31,0,107,4,97,4,200,35,18,8,166,116,47,120,0,0,3,39,0,0,57,60,0,20,3,0,2648
Seymour Region,0,220,0,0,0,5,0,0,0,0,5,0,5,3,17,0,0,0,0,0,0,0,3,0,7,3,80,3,0,0,0,4,3,0,8,87,27,0,6,0,0,0,4,0,4,0,14,4,6,0,0,20,52,0,22,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,4,0,0,0,0,10,0,16,5,0,17,23,0,20,921,31,0,56,6,24,3,20,21,0,22,0,0,0,7,0,0,12,15,0,23,3,0,1870
Upper Yarra Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Yea,0,220,7,0,0,14,0,0,0,0,3,0,0,36,5,0,6,0,3,0,0,3,6,0,0,0,7,4,0,0,0,0,0,0,31,3,86,0,13,0,0,3,5,5,6,0,21,40,36,0,0,32,73,0,23,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,3,0,21,4,0,0,13,0,19,0,13,0,94,3,7,0,50,23,5,14,0,3,3,4,0,0,13,4,0,14,3,0,1034
Benalla,0,108,0,11,0,18,0,0,0,0,0,0,36,55,0,60,207,0,3,0,3,5,3,16,227,3,80,4,0,59,5,0,3,0,65,55,157,4,61,164,4,15,4,6,20,58,30,233,302,0,0,37,281,0,115,3,0,0,4,20,66,3,0,5,0,0,0,16,0,5,0,48,3,4,0,24,33,0,139,4,0,27,59,0,303,10,91,10,316,41,26,21,192,161,130,144,0,4,4,47,3,0,88,75,0,35,5,0,4710
Benalla Region,0,412,0,0,0,5,0,0,0,0,0,0,7,13,19,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,4,28,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,15,0,14,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,3,0,0,0,0,20,3,0,3,11,0,0,0,3,0,18,3,7,0,0,10,0,13,0,0,0,24,0,0,15,5,0,9,0,0,704
Rutherglen,3,134,0,0,0,12,0,0,0,0,0,0,5,609,134,3,3,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,4,0,20,0,45,3,3,0,0,8,0,0,6,3,3,65,38,0,0,41,78,0,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,49,4,0,6,9,0,68,0,3,0,84,0,3,11,0,34,32,24,0,0,0,0,0,0,32,17,0,11,3,0,1665
Wangaratta,0,47,0,0,0,13,0,0,0,0,3,4,67,106,7,329,79,0,18,0,22,6,25,67,57,32,41,15,0,4,0,11,10,7,100,33,308,9,83,39,17,85,50,3,36,112,23,389,715,4,0,112,510,4,221,3,0,0,3,43,21,7,0,64,21,16,0,35,0,11,3,112,26,56,0,35,81,3,297,18,0,213,62,0,571,0,191,9,532,133,82,61,923,465,289,368,0,22,3,80,4,0,191,191,0,40,3,0,9156
Wangaratta Region,3,751,0,15,0,15,0,0,0,0,11,0,16,58,243,4,75,0,0,0,11,10,4,10,15,10,7,14,0,0,0,0,0,3,38,7,100,3,10,5,0,15,3,0,9,3,16,26,23,0,0,42,184,0,76,3,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,3,0,6,0,3,0,0,59,7,0,14,37,0,17,0,3,7,96,7,13,0,6,12,3,21,0,0,4,10,0,0,25,14,0,18,3,0,2236
Beechworth,0,76,3,0,0,0,0,0,0,0,7,0,9,73,24,0,22,0,0,0,0,3,0,6,0,0,6,7,0,0,3,0,0,0,24,0,34,3,15,0,0,3,3,0,9,0,6,83,100,0,0,64,97,0,24,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,12,0,3,0,0,10,0,56,6,0,16,23,0,91,0,49,0,95,4,16,11,11,52,173,30,0,13,5,7,0,0,11,23,0,3,0,0,1447
Bright - Mount Beauty,0,236,3,4,0,3,0,0,0,0,0,0,3,26,21,3,10,0,3,0,0,0,4,4,3,0,0,13,0,56,0,0,3,3,42,11,132,0,4,3,0,28,3,0,18,4,19,201,124,0,0,666,354,3,43,0,0,0,254,12,0,0,0,3,3,0,0,3,0,5,0,30,4,5,0,76,55,0,80,14,0,48,44,0,145,3,20,0,206,3,90,3,141,65,9,44,3,28,4,94,0,0,44,57,0,34,3,0,3700
Chiltern - Indigo Valley,0,84,0,0,0,3,0,0,0,0,0,0,0,7,23,0,0,0,0,5,15,0,3,0,0,0,0,6,0,0,0,0,0,0,3,8,19,0,0,0,0,0,0,0,3,0,0,35,18,0,0,8,26,0,21,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,25,0,0,0,11,0,3,0,4,0,32,0,0,0,0,5,5,3,0,0,0,0,0,0,6,20,0,5,0,0,435
Myrtleford,0,147,0,45,0,6,0,0,0,0,0,0,14,35,30,18,140,25,0,0,0,0,5,6,6,0,12,10,0,18,0,0,9,0,22,13,51,0,18,0,0,17,0,0,16,14,10,96,105,0,0,25,103,0,59,0,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,18,3,4,0,17,10,0,67,0,0,24,12,0,59,0,7,0,119,3,10,3,100,40,39,29,0,0,0,11,0,0,33,21,0,8,0,0,1768
Towong,0,576,0,12,0,14,0,0,0,3,0,0,5,51,0,0,13,0,5,0,0,0,0,3,0,0,4,8,0,0,0,7,0,4,28,17,67,3,21,9,0,22,3,7,6,0,9,68,50,3,0,43,66,0,51,0,0,0,0,13,0,0,0,8,0,0,0,0,0,3,0,18,0,3,0,0,9,0,45,3,0,0,6,0,104,0,15,3,175,0,8,19,142,32,21,37,0,0,0,3,0,0,46,13,0,5,3,0,1937
West Wodonga,0,23,0,0,0,3,0,0,0,0,4,0,35,92,0,4,11,170,23,0,4,11,5,6,7,3,32,10,0,3,0,9,4,4,113,7,146,5,37,24,51,29,14,0,7,58,5,333,104,0,0,19,140,3,109,3,0,0,0,46,21,91,0,134,0,0,0,0,0,10,0,7,3,4,0,10,9,0,104,12,0,14,47,0,143,13,35,11,345,417,24,19,46,70,121,246,0,0,3,47,0,0,88,46,0,31,0,0,3916
Wodonga,0,73,0,3,0,3,0,0,0,0,15,0,134,771,11,18,37,14,6,6,15,75,83,240,114,49,631,19,0,32,8,14,64,10,197,71,410,4,75,140,17,111,26,18,38,204,36,392,606,3,0,61,506,7,372,12,0,0,0,45,20,33,0,4,0,8,0,12,0,3,5,132,36,85,0,28,106,0,477,41,0,262,139,3,393,1409,165,16,488,46,105,81,618,438,178,419,0,10,23,45,4,0,294,170,0,80,4,0,12192
Yackandandah,0,218,0,0,0,4,0,0,0,0,0,0,11,193,0,0,3,0,0,0,0,0,5,3,0,6,0,3,0,0,0,0,3,0,32,15,49,0,25,0,0,9,0,0,7,0,3,35,21,0,0,20,34,0,25,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,31,6,0,8,12,0,73,0,0,0,48,3,4,0,73,8,12,21,0,3,4,0,0,0,16,7,0,9,3,0,1081
Drouin,0,361,0,4,0,12,0,0,0,0,0,0,52,102,3,10,10,0,15,0,0,15,17,7,16,8,24,17,0,0,0,3,4,7,66,53,192,3,48,8,3,44,27,0,11,4,24,162,128,3,0,54,152,0,75,0,0,0,0,14,0,0,0,3,0,0,0,0,0,0,0,17,7,6,0,6,42,0,96,15,0,12,65,0,85,0,7,0,348,6,20,6,12,75,98,70,0,0,8,19,0,0,77,46,3,13,0,0,2956
Mount Baw Baw Region,3,363,3,16,0,16,0,0,0,3,11,0,11,84,4,3,41,0,0,0,0,0,0,4,0,0,3,4,0,4,0,4,0,0,30,26,63,3,33,3,0,13,0,0,3,5,0,19,34,0,0,100,72,0,19,0,0,0,0,5,0,0,0,0,4,0,0,3,0,0,0,11,3,3,0,13,3,0,38,6,0,15,20,0,54,0,6,0,113,4,11,0,41,28,21,12,0,5,3,6,0,0,23,11,0,17,0,0,1475
Trafalgar (Vic.),0,441,0,3,0,10,0,0,0,4,9,3,10,40,3,3,3,0,0,0,0,0,5,3,7,9,3,0,0,3,0,0,20,4,26,28,74,3,20,27,0,42,4,0,6,10,5,82,73,0,0,22,118,0,48,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,3,10,0,0,11,0,59,0,0,3,19,0,18,0,21,3,146,3,9,7,27,28,22,22,0,3,0,19,0,0,46,34,0,25,0,0,1748
Warragul,3,444,0,7,0,39,0,0,0,0,3,0,59,233,11,20,44,3,21,0,3,149,17,46,24,13,54,29,0,16,5,6,15,17,248,44,329,7,68,102,21,66,9,12,40,107,12,315,580,3,0,53,500,0,194,17,0,0,0,53,10,0,3,34,13,14,0,44,10,24,0,121,18,58,0,18,66,3,326,41,0,88,76,0,380,0,68,22,642,84,116,34,575,337,99,219,0,5,11,69,3,0,214,337,0,44,4,0,8325
Alps - East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bairnsdale,0,65,0,6,0,11,0,0,0,0,14,0,78,566,0,22,70,3,44,4,0,4,19,9,29,40,13,26,0,31,8,70,24,3,130,92,309,12,97,40,35,80,17,22,54,131,53,292,744,6,0,79,382,4,180,7,0,4,6,43,28,0,0,35,13,9,0,22,0,4,0,77,17,37,0,22,78,0,276,14,0,98,62,0,407,0,104,20,559,174,51,25,110,373,498,245,0,36,6,40,12,0,177,150,0,53,4,0,7817
Bruthen - Omeo,0,523,0,13,4,15,0,0,0,3,13,14,9,38,17,0,27,3,0,0,0,3,3,3,0,8,33,0,0,0,0,5,6,0,17,13,56,0,15,3,0,18,3,0,6,0,11,32,22,0,0,37,35,0,75,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,5,0,39,4,0,3,19,3,37,0,11,0,105,3,15,5,8,9,51,11,0,4,3,10,0,0,14,9,0,21,5,0,1512
Lake King,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakes Entrance,0,43,0,0,60,0,0,0,0,0,0,0,13,28,3,0,6,0,3,0,0,0,3,6,5,25,3,13,0,0,0,3,22,4,51,31,136,0,17,0,4,6,3,0,10,8,6,156,180,0,0,256,312,0,43,0,5,0,13,17,19,4,0,3,0,0,0,0,3,0,0,25,3,3,0,10,38,0,71,4,0,8,39,0,76,0,20,0,166,25,12,6,0,192,130,57,0,10,4,23,0,0,38,49,0,18,3,0,2564
Orbost,0,321,3,75,24,26,0,0,0,0,7,5,9,40,3,0,70,0,3,0,0,0,3,6,0,3,0,11,0,0,0,9,5,3,31,31,68,0,31,3,0,15,3,0,9,0,30,92,68,0,0,107,113,0,80,0,0,0,0,15,0,0,0,7,0,0,0,3,0,0,0,12,0,0,0,0,14,0,48,0,0,19,24,0,103,0,26,10,235,4,21,5,131,74,6,45,0,34,9,0,0,0,34,33,0,28,3,0,2263
Paynesville,0,66,0,0,0,3,0,0,0,0,0,0,0,18,0,0,6,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,33,6,51,3,3,0,0,0,3,0,0,0,0,34,40,0,0,39,52,0,4,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,20,0,33,0,0,6,16,0,3,0,6,0,56,0,10,9,0,15,74,22,0,0,3,15,0,0,14,23,0,7,0,0,762
Foster,3,806,0,0,19,9,3,0,19,0,3,7,12,38,3,6,9,0,5,0,3,0,5,3,3,5,9,7,0,3,0,65,3,0,50,12,103,3,45,23,3,21,0,6,13,5,18,147,88,0,0,80,151,3,87,0,7,0,0,28,10,3,0,5,0,0,0,4,0,4,0,14,0,0,0,3,17,0,71,6,0,21,37,0,16,0,14,0,139,4,16,10,62,60,41,45,0,39,3,22,0,0,49,34,0,26,3,0,2710
French Island,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,49
Korumburra,0,524,0,0,0,21,4,0,0,26,18,0,22,212,3,11,10,0,0,0,3,0,9,18,13,13,4,9,0,0,0,7,3,3,44,5,99,3,32,3,0,50,3,8,10,10,15,72,104,0,0,12,101,0,93,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,22,4,3,0,8,16,0,78,6,0,32,22,0,25,0,16,0,163,9,22,6,145,56,46,44,0,3,5,9,0,0,58,28,0,14,3,0,2484
Leongatha,3,610,0,11,0,33,0,0,0,0,20,0,32,476,19,26,23,4,0,0,3,3,10,15,20,20,14,12,0,40,0,10,11,5,86,25,205,0,123,32,3,14,0,14,19,64,6,244,298,0,0,18,273,0,135,0,0,0,0,31,6,0,0,23,17,0,0,3,0,9,5,86,12,21,0,14,34,0,186,5,0,24,62,3,269,0,21,8,329,48,32,9,161,158,112,117,0,3,3,32,0,0,110,87,0,47,3,0,5053
Phillip Island,0,45,3,0,0,4,0,0,0,0,9,0,8,36,8,8,11,0,6,0,0,0,0,0,10,4,4,15,0,0,0,61,7,3,82,8,194,3,47,6,0,25,6,0,17,3,22,115,177,0,0,232,285,0,49,0,0,3,4,20,0,0,0,11,0,0,0,6,3,4,0,29,3,3,0,4,57,0,100,19,0,35,65,0,39,0,8,3,162,5,20,7,0,98,87,54,0,142,4,102,0,0,42,53,0,24,0,0,2724
Wilsons Promontory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,30
Wonthaggi - Inverloch,0,459,0,3,13,11,0,5,3,8,10,15,62,121,4,9,18,0,10,0,6,30,23,19,15,179,19,14,0,4,5,252,49,110,899,731,498,3,137,18,6,74,5,6,29,64,35,384,454,0,0,189,535,0,127,0,0,0,0,37,4,0,0,16,3,0,0,18,0,9,0,61,16,18,0,19,102,0,284,12,0,34,88,0,293,0,97,7,386,29,47,25,402,264,165,126,0,27,11,45,5,0,113,119,0,85,3,0,8641
Churchill,0,178,6,42,0,0,0,203,0,4,13,16,15,18,0,0,124,48,25,0,3,4,0,26,17,0,14,0,0,1212,5,0,21,4,67,67,207,0,17,13,3,4,4,0,9,0,12,133,32,0,0,9,91,0,31,0,0,0,0,13,0,3,0,6,0,0,0,8,0,0,0,6,3,3,0,5,0,0,118,18,0,38,58,0,27,0,48,0,220,401,20,3,5,31,22,51,0,0,6,11,0,0,34,34,0,27,3,0,3928
Moe - Newborough,0,16,0,10,0,4,4,75,0,0,0,25,46,44,0,3,16,0,3,0,0,8,10,36,24,17,83,8,0,256,0,0,0,3,44,150,196,3,36,11,0,9,3,0,13,29,21,268,380,0,0,31,315,0,80,5,0,0,0,35,0,0,0,3,0,0,0,3,0,0,0,107,16,12,0,13,40,0,126,3,0,42,51,0,169,0,72,8,391,189,36,16,52,173,255,142,3,8,6,49,10,0,70,113,0,42,0,0,4523
Morwell,0,29,0,33,0,0,0,18,0,0,5,5,82,167,29,5,103,736,17,34,37,22,33,153,101,46,38,14,0,143,11,15,76,17,109,148,253,3,105,58,15,63,21,9,35,72,33,311,651,3,0,44,389,0,245,5,0,0,0,92,35,3,0,70,32,0,0,12,10,0,0,62,25,30,0,70,54,0,291,74,0,96,114,3,745,0,186,7,250,130,42,17,365,231,257,401,0,3,7,59,8,0,207,97,0,76,3,0,8752
Traralgon,0,51,0,41,0,5,0,3,3,4,19,0,30,62,8,16,37,37,16,0,3,4,30,5,18,61,22,14,0,92,3,174,27,10,199,62,364,7,46,67,28,41,21,4,43,105,14,304,794,0,0,105,587,3,157,3,0,10,0,43,66,4,0,6,9,40,0,32,12,0,9,131,56,140,0,27,104,0,294,29,0,99,69,3,862,0,111,3,579,34,51,27,1119,422,209,244,0,16,9,26,3,0,189,141,0,38,5,0,9038
Yallourn North - Glengarry,0,55,0,0,0,4,0,0,0,0,15,0,3,0,3,0,0,0,0,0,0,0,3,4,0,0,4,0,0,5,0,0,3,5,7,10,51,0,3,0,0,0,0,0,4,0,4,11,10,0,0,0,12,0,13,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,13,0,6,0,0,0,43,3,0,0,0,6,0,0,0,0,0,3,0,0,14,7,0,5,0,0,372
Alps - West,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22
Longford - Loch Sport,3,222,0,0,0,4,0,0,324,0,3,3,4,15,0,0,0,0,0,6,4,0,3,0,0,56,12,0,0,0,18,12,3,7,18,37,39,0,10,3,0,8,3,0,3,0,0,8,6,0,0,13,35,0,11,0,0,15,4,8,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,40,4,0,60,21,0,17,487,31,0,51,25,3,0,4,9,3,15,0,0,0,10,0,0,31,10,0,12,0,0,1798
Maffra,6,624,0,7,0,25,0,0,0,0,7,0,20,218,3,0,103,3,0,0,0,0,12,17,13,4,8,11,3,0,0,93,17,3,54,33,171,3,37,19,0,5,4,3,12,41,31,180,126,4,0,21,145,0,141,0,3,0,0,27,0,0,0,3,0,0,0,0,0,0,0,27,7,5,0,0,17,0,93,5,0,7,32,0,96,0,15,4,282,0,33,12,100,103,31,93,0,12,3,20,0,0,68,62,0,10,0,0,3396
Rosedale,0,437,0,18,0,7,0,0,0,3,4,0,3,13,0,19,3,0,0,0,0,0,6,0,0,8,0,0,0,0,0,4,4,0,5,0,28,0,3,6,0,6,0,0,0,0,4,20,25,0,0,7,37,0,41,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,3,11,0,11,0,230,3,73,58,10,0,5,5,0,11,0,0,0,3,0,0,5,18,0,5,3,0,1215
Sale,0,30,0,0,0,4,0,0,67,0,3,129,54,35,0,3,5,0,9,3,0,0,31,75,29,13,71,20,0,18,18,4,23,19,125,76,303,4,57,43,6,22,10,5,52,87,33,347,683,0,0,107,478,0,108,8,0,11,0,43,15,0,0,20,6,13,0,9,0,0,0,88,14,40,3,24,76,0,259,18,0,106,87,0,374,21,140,4,630,43,51,39,606,315,185,200,0,12,3,67,12,0,163,180,0,65,0,0,7147
Yarram,6,425,0,51,3,30,0,0,0,0,10,0,11,11,3,0,51,0,3,0,0,0,3,3,4,5,5,7,0,3,0,3,3,0,18,8,63,3,19,9,0,4,0,0,5,19,9,87,79,0,0,47,74,0,32,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,18,0,9,0,4,15,0,64,3,0,4,20,0,44,0,5,0,105,0,3,13,107,31,27,28,0,0,0,5,0,0,41,20,0,9,0,0,1724
Brunswick,0,6,0,0,0,0,0,0,0,0,0,3,87,450,6,264,51,36,116,12,83,59,24,17,51,5,152,116,0,0,0,0,0,9,152,6,203,45,52,119,40,175,278,0,35,34,11,534,681,7,0,62,611,7,325,0,0,0,0,29,7,16,3,46,33,8,0,20,0,5,5,59,9,34,0,18,129,0,573,75,0,165,90,0,250,0,254,22,208,258,90,25,104,386,150,460,4,3,114,51,6,0,169,250,3,80,4,0,9147
