Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (POW) by HEAP - 1 Digit Level"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","SA2 (POW)","HEAP - 1 Digit Level","Count",
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Postgraduate Degree Level",63
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Graduate Diploma and Graduate Certificate Level",39
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Advanced Diploma and Diploma Level",182
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Secondary Education - Years 10 and above",693
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Certificate I & II Level",5
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Secondary Education - Years 9 and below",97
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Supplementary Codes",53
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Not stated",35
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Queanbeyan West - Jerrabomberra","Total",2114
"Persons Aged 15 Years and Over Place of Work","Bombala","Bachelor Degree Level",123
"Persons Aged 15 Years and Over Place of Work","Bombala","Certificate III & IV Level",252
"Persons Aged 15 Years and Over Place of Work","Bombala","Postgraduate Degree Level",11
"Persons Aged 15 Years and Over Place of Work","Bombala","Graduate Diploma and Graduate Certificate Level",19
"Persons Aged 15 Years and Over Place of Work","Bombala","Advanced Diploma and Diploma Level",90
"Persons Aged 15 Years and Over Place of Work","Bombala","Secondary Education - Years 10 and above",372
"Persons Aged 15 Years and Over Place of Work","Bombala","Certificate I & II Level",6
"Persons Aged 15 Years and Over Place of Work","Bombala","Secondary Education - Years 9 and below",76
"Persons Aged 15 Years and Over Place of Work","Bombala","Supplementary Codes",33
"Persons Aged 15 Years and Over Place of Work","Bombala","Not stated",52
"Persons Aged 15 Years and Over Place of Work","Bombala","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Bombala","Total",1031
"Persons Aged 15 Years and Over Place of Work","Cooma","Bachelor Degree Level",521
"Persons Aged 15 Years and Over Place of Work","Cooma","Certificate III & IV Level",841
"Persons Aged 15 Years and Over Place of Work","Cooma","Postgraduate Degree Level",113
"Persons Aged 15 Years and Over Place of Work","Cooma","Graduate Diploma and Graduate Certificate Level",79
"Persons Aged 15 Years and Over Place of Work","Cooma","Advanced Diploma and Diploma Level",369
"Persons Aged 15 Years and Over Place of Work","Cooma","Secondary Education - Years 10 and above",1064
"Persons Aged 15 Years and Over Place of Work","Cooma","Certificate I & II Level",4
"Persons Aged 15 Years and Over Place of Work","Cooma","Secondary Education - Years 9 and below",170
"Persons Aged 15 Years and Over Place of Work","Cooma","Supplementary Codes",108
"Persons Aged 15 Years and Over Place of Work","Cooma","Not stated",138
"Persons Aged 15 Years and Over Place of Work","Cooma","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Cooma","Total",3416
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Bachelor Degree Level",75
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Certificate III & IV Level",182
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Postgraduate Degree Level",18
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Graduate Diploma and Graduate Certificate Level",12
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Advanced Diploma and Diploma Level",56
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Secondary Education - Years 10 and above",230
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Certificate I & II Level",0
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Secondary Education - Years 9 and below",47
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Supplementary Codes",25
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Not stated",33
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Cooma Region","Total",682
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Bachelor Degree Level",695
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Certificate III & IV Level",1247
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Postgraduate Degree Level",131
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Graduate Diploma and Graduate Certificate Level",71
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Advanced Diploma and Diploma Level",458
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Secondary Education - Years 10 and above",1520
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Certificate I & II Level",0
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Secondary Education - Years 9 and below",104
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Supplementary Codes",165
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Not stated",139
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Jindabyne - Berridale","Total",4537
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Bachelor Degree Level",440
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Certificate III & IV Level",1128
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Postgraduate Degree Level",69
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Graduate Diploma and Graduate Certificate Level",70
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Advanced Diploma and Diploma Level",439
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Secondary Education - Years 10 and above",1522
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Certificate I & II Level",5
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Secondary Education - Years 9 and below",202
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Supplementary Codes",160
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Not stated",162
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Batemans Bay","Total",4193
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Bachelor Degree Level",183
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Certificate III & IV Level",308
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Postgraduate Degree Level",46
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Graduate Diploma and Graduate Certificate Level",53
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Advanced Diploma and Diploma Level",112
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Secondary Education - Years 10 and above",298
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Certificate I & II Level",0
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Secondary Education - Years 9 and below",57
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Supplementary Codes",51
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Not stated",42
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Batemans Bay - South","Total",1147
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Bachelor Degree Level",854
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Certificate III & IV Level",1264
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Postgraduate Degree Level",195
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Graduate Diploma and Graduate Certificate Level",160
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Advanced Diploma and Diploma Level",502
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Secondary Education - Years 10 and above",1554
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Certificate I & II Level",3
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Secondary Education - Years 9 and below",226
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Supplementary Codes",163
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Not stated",179
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Bega - Tathra","Total",5097
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Bachelor Degree Level",176
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Certificate III & IV Level",396
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Postgraduate Degree Level",41
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Graduate Diploma and Graduate Certificate Level",37
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Advanced Diploma and Diploma Level",150
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Secondary Education - Years 10 and above",421
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Certificate I & II Level",0
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Secondary Education - Years 9 and below",99
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Supplementary Codes",50
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Not stated",43
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Bega-Eden Hinterland","Total",1397
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Bachelor Degree Level",132
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Certificate III & IV Level",191
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Postgraduate Degree Level",35
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Graduate Diploma and Graduate Certificate Level",37
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Advanced Diploma and Diploma Level",78
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Secondary Education - Years 10 and above",158
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Certificate I & II Level",0
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Secondary Education - Years 9 and below",28
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Supplementary Codes",20
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Not stated",15
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Broulee - Tomakin","Total",696
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Bachelor Degree Level",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Certificate III & IV Level",3
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Postgraduate Degree Level",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Graduate Diploma and Graduate Certificate Level",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Advanced Diploma and Diploma Level",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Secondary Education - Years 10 and above",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Certificate I & II Level",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Secondary Education - Years 9 and below",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Supplementary Codes",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Not stated",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Deua - Wadbilliga","Total",3
"Persons Aged 15 Years and Over Place of Work","Eden","Bachelor Degree Level",136
"Persons Aged 15 Years and Over Place of Work","Eden","Certificate III & IV Level",330
"Persons Aged 15 Years and Over Place of Work","Eden","Postgraduate Degree Level",36
"Persons Aged 15 Years and Over Place of Work","Eden","Graduate Diploma and Graduate Certificate Level",34
"Persons Aged 15 Years and Over Place of Work","Eden","Advanced Diploma and Diploma Level",129
"Persons Aged 15 Years and Over Place of Work","Eden","Secondary Education - Years 10 and above",455
"Persons Aged 15 Years and Over Place of Work","Eden","Certificate I & II Level",0
"Persons Aged 15 Years and Over Place of Work","Eden","Secondary Education - Years 9 and below",101
"Persons Aged 15 Years and Over Place of Work","Eden","Supplementary Codes",59
"Persons Aged 15 Years and Over Place of Work","Eden","Not stated",56
"Persons Aged 15 Years and Over Place of Work","Eden","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Eden","Total",1318
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Bachelor Degree Level",68
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Certificate III & IV Level",190
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Postgraduate Degree Level",20
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Graduate Diploma and Graduate Certificate Level",16
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Advanced Diploma and Diploma Level",74
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Secondary Education - Years 10 and above",270
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Certificate I & II Level",0
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Secondary Education - Years 9 and below",50
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Supplementary Codes",39
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Not stated",17
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Eurobodalla Hinterland","Total",745
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Bachelor Degree Level",432
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Certificate III & IV Level",956
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Postgraduate Degree Level",73
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Graduate Diploma and Graduate Certificate Level",84
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Advanced Diploma and Diploma Level",385
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Secondary Education - Years 10 and above",1241
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Certificate I & II Level",4
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Secondary Education - Years 9 and below",168
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Supplementary Codes",121
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Not stated",120
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Merimbula - Tura Beach","Total",3574
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Bachelor Degree Level",525
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Certificate III & IV Level",903
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Postgraduate Degree Level",113
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Graduate Diploma and Graduate Certificate Level",110
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Advanced Diploma and Diploma Level",368
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Secondary Education - Years 10 and above",957
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Certificate I & II Level",4
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Secondary Education - Years 9 and below",142
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Supplementary Codes",91
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Not stated",102
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Moruya - Tuross Head","Total",3323
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Bachelor Degree Level",328
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Certificate III & IV Level",698
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Postgraduate Degree Level",67
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Graduate Diploma and Graduate Certificate Level",56
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Advanced Diploma and Diploma Level",247
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Secondary Education - Years 10 and above",773
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Certificate I & II Level",6
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Secondary Education - Years 9 and below",115
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Supplementary Codes",96
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Not stated",90
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Narooma - Bermagui","Total",2470
"Persons Aged 15 Years and Over Place of Work","Goulburn","Bachelor Degree Level",1273
"Persons Aged 15 Years and Over Place of Work","Goulburn","Certificate III & IV Level",2555
"Persons Aged 15 Years and Over Place of Work","Goulburn","Postgraduate Degree Level",334
"Persons Aged 15 Years and Over Place of Work","Goulburn","Graduate Diploma and Graduate Certificate Level",229
"Persons Aged 15 Years and Over Place of Work","Goulburn","Advanced Diploma and Diploma Level",1140
"Persons Aged 15 Years and Over Place of Work","Goulburn","Secondary Education - Years 10 and above",3296
"Persons Aged 15 Years and Over Place of Work","Goulburn","Certificate I & II Level",5
"Persons Aged 15 Years and Over Place of Work","Goulburn","Secondary Education - Years 9 and below",469
"Persons Aged 15 Years and Over Place of Work","Goulburn","Supplementary Codes",340
"Persons Aged 15 Years and Over Place of Work","Goulburn","Not stated",316
"Persons Aged 15 Years and Over Place of Work","Goulburn","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Goulburn","Total",9958
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Bachelor Degree Level",393
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Certificate III & IV Level",950
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Postgraduate Degree Level",84
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Graduate Diploma and Graduate Certificate Level",47
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Advanced Diploma and Diploma Level",351
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Secondary Education - Years 10 and above",1096
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Certificate I & II Level",4
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Secondary Education - Years 9 and below",261
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Supplementary Codes",111
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Not stated",122
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Goulburn Region","Total",3410
"Persons Aged 15 Years and Over Place of Work","Yass","Bachelor Degree Level",337
"Persons Aged 15 Years and Over Place of Work","Yass","Certificate III & IV Level",512
"Persons Aged 15 Years and Over Place of Work","Yass","Postgraduate Degree Level",53
"Persons Aged 15 Years and Over Place of Work","Yass","Graduate Diploma and Graduate Certificate Level",47
"Persons Aged 15 Years and Over Place of Work","Yass","Advanced Diploma and Diploma Level",216
"Persons Aged 15 Years and Over Place of Work","Yass","Secondary Education - Years 10 and above",756
"Persons Aged 15 Years and Over Place of Work","Yass","Certificate I & II Level",3
"Persons Aged 15 Years and Over Place of Work","Yass","Secondary Education - Years 9 and below",117
"Persons Aged 15 Years and Over Place of Work","Yass","Supplementary Codes",93
"Persons Aged 15 Years and Over Place of Work","Yass","Not stated",91
"Persons Aged 15 Years and Over Place of Work","Yass","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Yass","Total",2223
"Persons Aged 15 Years and Over Place of Work","Yass Region","Bachelor Degree Level",372
"Persons Aged 15 Years and Over Place of Work","Yass Region","Certificate III & IV Level",489
"Persons Aged 15 Years and Over Place of Work","Yass Region","Postgraduate Degree Level",126
"Persons Aged 15 Years and Over Place of Work","Yass Region","Graduate Diploma and Graduate Certificate Level",51
"Persons Aged 15 Years and Over Place of Work","Yass Region","Advanced Diploma and Diploma Level",251
"Persons Aged 15 Years and Over Place of Work","Yass Region","Secondary Education - Years 10 and above",725
"Persons Aged 15 Years and Over Place of Work","Yass Region","Certificate I & II Level",0
"Persons Aged 15 Years and Over Place of Work","Yass Region","Secondary Education - Years 9 and below",127
"Persons Aged 15 Years and Over Place of Work","Yass Region","Supplementary Codes",62
"Persons Aged 15 Years and Over Place of Work","Yass Region","Not stated",90
"Persons Aged 15 Years and Over Place of Work","Yass Region","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Yass Region","Total",2291
"Persons Aged 15 Years and Over Place of Work","Young","Bachelor Degree Level",553
"Persons Aged 15 Years and Over Place of Work","Young","Certificate III & IV Level",1206
"Persons Aged 15 Years and Over Place of Work","Young","Postgraduate Degree Level",86
"Persons Aged 15 Years and Over Place of Work","Young","Graduate Diploma and Graduate Certificate Level",73
"Persons Aged 15 Years and Over Place of Work","Young","Advanced Diploma and Diploma Level",396
"Persons Aged 15 Years and Over Place of Work","Young","Secondary Education - Years 10 and above",1508
"Persons Aged 15 Years and Over Place of Work","Young","Certificate I & II Level",3
"Persons Aged 15 Years and Over Place of Work","Young","Secondary Education - Years 9 and below",218
"Persons Aged 15 Years and Over Place of Work","Young","Supplementary Codes",161
"Persons Aged 15 Years and Over Place of Work","Young","Not stated",166
"Persons Aged 15 Years and Over Place of Work","Young","Not applicable",0
"Persons Aged 15 Years and Over Place of Work","Young","Total",4377
"Persons Aged 15 Years and Over Place of Work","Young Region","Bachelor Degree Level",294
"Persons Aged 15 Years and Over Place of Work","Young Region","Certificate III & IV Level",522
"Persons Aged 15 Years and Over Place of Work","Young Region","Postgraduate Degree Level",46
"Persons Aged 15 Years and Over Place of Work","Young Region","Graduate Diploma and Graduate Certificate Level",31
"Persons Aged 15 Years and Over Place of Work","Young Region","Advanced Diploma and Diploma Level",259
"Persons Aged 15 Years and Over Place of Work","Young Region","Secondary Education - Years 10 and above",863
