INDP - 2 Digit Level,"Agriculture, Forestry and Fishing, nfd",Agriculture,Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing Support Services","Mining, nfd",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Non-Metallic Mineral Mining and Quarrying,Exploration and Other Mining Support Services,"Manufacturing, nfd",Food Product Manufacturing,Beverage and Tobacco Product Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Wood Product Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Printing (including the Reproduction of Recorded Media),Petroleum and Coal Product Manufacturing,Basic Chemical and Chemical Product Manufacturing,Polymer Product and Rubber Product Manufacturing,Non-Metallic Mineral Product Manufacturing,Primary Metal and Metal Product Manufacturing,Fabricated Metal Product Manufacturing,Transport Equipment Manufacturing,Machinery and Equipment Manufacturing,Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services, nfd",Electricity Supply,Gas Supply,"Water Supply, Sewerage and Drainage Services","Waste Collection, Treatment and Disposal Services","Construction, nfd",Building Construction,Heavy and Civil Engineering Construction,Construction Services,"Wholesale Trade, nfd",Basic Material Wholesaling,Machinery and Equipment Wholesaling,Motor Vehicle and Motor Vehicle Parts Wholesaling,"Grocery, Liquor and Tobacco Product Wholesaling",Other Goods Wholesaling,Commission-Based Wholesaling,"Retail Trade, nfd",Motor Vehicle and Motor Vehicle Parts Retailing,Fuel Retailing,Food Retailing,Other Store-Based Retailing,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,"Accommodation and Food Services, nfd",Accommodation,Food and Beverage Services,"Transport, Postal and Warehousing, nfd",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Postal and Courier Pick-up and Delivery Services,Transport Support Services,Warehousing and Storage Services,"Information Media and Telecommunications, nfd",Publishing (except Internet and Music Publishing),Motion Picture and Sound Recording Activities,Broadcasting (except Internet),Internet Publishing and Broadcasting,Telecommunications Services,"Internet Service Providers, Web Search Portals and Data Processing Services",Library and Other Information Services,"Financial and Insurance Services, nfd",Finance,Insurance and Superannuation Funds,Auxiliary Finance and Insurance Services,"Rental, Hiring and Real Estate Services, nfd",Rental and Hiring Services (except Real Estate),Property Operators and Real Estate Services,"Professional, Scientific and Technical Services, nfd","Professional, Scientific and Technical Services (except Computer System Design and Related Services)",Computer System Design and Related Services,"Administrative and Support Services, nfd",Administrative Services,"Building Cleaning, Pest Control and Other Support Services","Public Administration and Safety, nfd",Public Administration,Defence,"Public Order, Safety and Regulatory Services","Education and Training, nfd",Preschool and School Education,Tertiary Education,"Adult, Community and Other Education","Health Care and Social Assistance, nfd",Hospitals,Medical and Other Health Care Services,Residential Care Services,Social Assistance Services,"Arts and Recreation Services, nfd",Heritage Activities,Creative and Performing Arts Activities,Sports and Recreation Activities,Gambling Activities,"Other Services, nfd",Repair and Maintenance,Personal and Other Services,Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use,Inadequately described,Not stated,Not applicable,Total
SA2 (POW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kempsey Region,5,381,3,0,11,12,0,0,0,4,7,0,0,198,0,0,17,0,0,0,0,3,6,0,0,0,0,6,0,0,0,6,0,13,56,98,89,0,0,4,0,0,0,0,4,0,18,41,49,0,0,59,131,4,40,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,49,5,0,17,40,0,16,0,13,0,95,3,11,3,0,18,9,31,0,5,14,3,0,0,20,14,0,40,38,0,1756
Macksville - Scotts Head,0,33,4,0,0,0,0,0,0,0,10,0,11,26,5,0,0,0,0,0,0,0,23,9,3,49,3,3,0,0,0,13,0,22,67,172,129,3,9,0,36,0,3,0,5,25,26,156,77,0,0,42,128,0,83,3,0,0,0,18,9,0,0,0,0,0,0,0,0,0,0,16,3,8,0,7,16,0,79,8,0,25,24,0,115,0,31,0,206,22,11,24,135,97,99,75,0,0,6,14,0,0,60,46,0,57,32,0,2429
Nambucca Heads,0,10,6,0,4,0,0,0,0,0,0,0,4,6,0,0,21,0,0,0,0,0,0,4,8,0,0,0,0,16,0,0,0,8,31,27,81,0,8,0,0,0,4,0,9,7,3,130,101,0,0,57,242,0,15,0,0,0,0,17,7,0,0,6,15,0,0,0,0,0,0,18,0,5,0,0,26,0,69,5,0,27,41,0,29,0,19,3,188,0,17,6,4,93,189,116,0,0,7,15,4,0,36,44,0,43,20,0,1902
Nambucca Heads Region,3,268,0,13,5,12,0,0,0,0,4,0,0,15,4,5,30,0,0,0,0,0,0,3,0,30,0,0,0,0,0,0,0,11,25,99,67,0,12,0,0,5,0,0,3,0,0,33,20,0,0,15,60,3,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,66,6,0,23,24,0,6,0,16,3,95,4,3,0,0,30,6,37,0,10,5,3,0,0,6,9,0,26,14,0,1198
South West Rocks,0,7,5,0,16,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,4,3,0,5,6,0,0,0,3,0,5,23,10,72,0,6,0,0,0,0,0,4,7,5,89,81,0,0,52,142,0,17,0,0,0,8,6,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,31,0,35,0,0,14,32,0,8,0,5,0,49,0,5,5,3,58,63,10,0,7,0,9,0,0,11,37,0,30,14,0,1048
Lord Howe Island,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,4,7,0,0,66,22,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,41,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,216
Laurieton - Bonny Hills,0,72,16,10,9,4,0,0,0,7,13,0,6,29,5,0,85,0,5,0,0,0,3,7,3,3,0,8,0,0,0,5,3,11,85,56,178,4,14,7,0,4,5,0,14,3,24,274,125,0,0,76,297,0,47,0,0,0,0,27,0,0,0,4,3,0,0,0,0,0,0,24,0,3,0,0,69,0,136,13,0,33,82,0,27,0,14,0,375,5,25,7,5,145,165,61,0,4,9,15,4,0,59,100,0,74,42,0,3075
Port Macquarie - East,0,6,0,0,3,4,0,0,0,0,0,0,4,40,3,6,0,0,6,0,0,0,0,0,3,0,3,3,0,126,0,44,18,17,204,75,273,0,17,10,0,16,31,0,26,6,12,363,592,9,5,362,852,8,55,0,0,0,10,41,8,0,0,36,23,30,0,20,3,5,0,170,44,129,4,9,252,0,549,51,0,180,144,0,786,7,149,14,557,17,81,32,172,617,384,353,3,16,24,27,9,0,39,273,0,149,81,0,8722
Port Macquarie - West,0,7,0,3,3,6,0,0,0,0,3,5,62,59,36,20,67,0,17,0,3,12,36,31,69,25,27,44,0,603,0,15,43,38,204,68,476,16,80,45,20,61,31,0,48,275,24,355,862,6,3,152,706,9,360,4,4,29,4,100,23,25,0,13,3,3,0,40,7,0,5,44,10,30,4,55,75,0,232,40,0,143,206,0,158,8,130,15,703,392,109,55,1065,599,435,490,0,12,11,137,0,0,329,183,0,276,124,0,11388
Port Macquarie Region,0,365,26,17,4,7,0,0,0,0,4,0,3,7,0,4,42,0,0,0,0,0,0,7,0,0,0,4,0,9,0,6,16,4,82,59,68,0,3,0,0,0,0,0,0,3,4,8,12,0,0,15,28,4,30,0,3,0,0,8,0,4,0,0,5,0,0,0,0,0,0,0,0,6,0,4,7,0,47,11,0,11,26,0,9,0,9,0,36,8,9,0,7,11,8,6,0,3,8,10,0,0,19,8,0,40,16,0,1181
Wauchope,0,93,15,45,0,15,3,5,0,0,13,0,21,64,12,12,19,0,9,0,0,0,10,28,14,40,9,7,0,5,0,0,0,36,93,68,184,3,29,108,0,16,3,5,14,6,21,156,136,0,5,15,173,7,117,7,4,4,0,26,4,5,0,3,0,0,0,4,0,0,0,67,10,7,0,14,42,0,82,6,0,29,43,0,59,0,21,0,247,37,18,3,77,108,68,177,0,3,3,22,0,0,105,75,0,82,32,0,3146
Gloucester,0,296,3,6,0,5,0,38,3,0,5,0,9,26,0,0,19,0,0,0,0,0,0,0,3,18,21,7,0,18,5,3,0,0,18,15,57,0,12,0,3,0,0,10,4,3,7,105,53,0,0,31,88,3,37,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,4,11,0,0,0,0,22,0,43,3,0,21,23,0,86,0,11,3,137,0,7,7,103,50,18,42,0,15,0,7,0,0,34,23,0,50,23,0,1757
Old Bar - Manning Point - Red Head,0,68,10,0,3,5,0,0,0,0,0,0,15,25,0,0,5,0,5,0,0,0,0,0,0,3,3,8,0,0,0,3,3,8,64,0,120,0,5,0,0,0,4,0,5,0,5,123,30,0,0,73,110,3,17,0,0,0,0,6,0,0,0,3,0,0,0,3,0,0,0,3,0,10,0,7,39,0,81,11,0,15,44,0,0,0,4,0,103,8,13,4,0,44,74,51,0,4,5,12,0,0,16,36,0,31,21,0,1382
Taree,0,125,0,10,0,11,0,0,0,0,0,0,62,125,21,6,44,0,10,0,14,19,47,19,104,88,13,42,0,64,5,97,26,41,107,47,317,5,57,53,23,30,37,6,33,185,38,425,865,0,0,81,699,13,218,67,6,0,0,97,26,12,4,16,14,25,0,19,5,7,3,114,20,41,0,18,104,0,312,20,0,155,138,6,371,0,141,8,782,106,61,37,925,617,570,579,0,12,13,91,5,0,244,181,0,244,145,0,10581
Taree Region,5,440,5,3,12,10,5,4,0,0,39,4,5,19,0,3,0,0,0,0,0,0,4,5,5,5,0,4,0,6,0,14,0,6,54,6,87,0,11,5,0,0,5,0,0,0,15,40,46,0,0,58,122,3,25,0,0,0,0,15,3,0,0,0,0,0,0,5,0,0,0,4,3,3,0,4,26,0,56,8,0,14,44,0,11,0,4,3,79,5,10,0,0,17,3,14,3,0,8,14,0,0,18,30,0,59,32,0,1574
Wingham,0,41,0,0,0,3,0,0,0,0,0,0,4,265,0,0,17,0,0,0,0,0,3,0,7,0,4,0,0,0,0,0,0,3,24,0,46,0,3,17,0,25,0,0,8,3,8,77,72,0,0,19,89,5,37,0,0,0,0,5,8,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,18,0,62,3,0,6,23,0,16,0,9,0,163,3,11,4,53,70,77,31,0,0,5,7,0,0,40,25,0,20,27,0,1481
Albury - East,0,54,0,0,0,22,3,0,0,0,0,4,123,22,99,3,15,19,0,0,6,45,16,91,59,99,95,19,0,69,0,20,10,42,209,13,275,12,60,26,13,24,7,20,11,14,3,218,234,0,0,43,186,17,178,6,0,54,0,36,36,10,0,0,0,0,0,28,5,0,0,6,9,3,0,34,26,0,109,10,0,86,126,0,79,7,35,9,217,432,36,10,764,109,138,312,0,3,5,55,6,0,123,121,0,194,61,0,5841
Albury - North,0,18,0,0,0,0,0,0,0,0,0,0,34,12,0,43,9,0,0,0,0,0,3,9,23,12,33,11,0,7,0,0,4,0,38,4,175,6,16,8,0,18,3,0,3,8,28,20,65,0,0,6,52,4,56,0,0,0,0,8,3,6,0,0,0,3,0,15,0,0,0,0,0,0,0,5,21,0,67,3,0,15,28,0,28,0,43,4,346,0,45,12,4,91,117,67,0,0,0,19,0,0,48,54,0,80,19,0,1899
Albury - South,0,49,0,0,4,10,0,0,0,0,0,0,40,122,3,27,8,3,45,0,0,5,7,33,60,16,28,12,0,5,3,30,11,18,121,49,353,5,58,42,22,13,39,18,38,153,37,315,1271,0,0,226,1285,17,253,37,0,3,10,28,9,8,3,11,66,68,0,47,4,9,11,283,68,148,0,20,192,0,724,50,0,177,112,4,1508,16,226,22,438,167,113,43,484,853,389,393,0,25,19,38,8,0,179,306,0,264,135,0,12593
Albury Region,11,941,0,0,0,37,3,8,0,0,22,0,62,49,3,39,16,156,6,0,3,0,27,71,37,15,10,6,0,8,0,0,4,13,65,30,149,0,18,5,0,3,6,5,6,37,17,103,52,8,0,54,118,11,135,0,0,3,0,28,0,24,0,9,0,0,0,0,0,0,0,21,3,3,0,0,0,0,88,0,0,32,50,0,104,3,29,9,343,15,25,4,80,57,54,59,0,4,0,10,0,0,82,34,0,91,44,0,3689
Lavington,0,17,0,0,0,9,0,0,0,3,0,0,37,49,0,8,6,10,21,0,3,11,18,18,20,23,9,6,0,3,0,0,55,24,109,7,279,10,43,79,32,46,9,0,31,58,32,306,334,0,0,58,352,13,80,0,0,0,0,82,22,7,0,0,0,0,0,14,4,4,0,33,10,13,0,5,59,0,105,30,0,60,55,0,42,8,49,8,302,9,28,3,17,145,134,180,0,4,3,18,0,0,134,89,0,90,48,0,4039
Hay,10,261,0,0,0,85,0,0,0,0,0,0,0,20,0,0,4,0,0,0,0,0,0,9,5,0,0,0,0,5,0,3,0,0,18,43,53,0,5,0,0,0,3,7,9,15,12,69,27,0,0,44,51,0,24,0,0,0,0,6,0,0,0,5,0,0,0,5,0,0,0,9,0,0,0,0,8,0,25,0,0,17,15,0,79,0,24,7,99,0,0,3,25,23,18,15,0,9,3,0,0,0,25,13,0,45,27,0,1320
Wentworth - Buronga,3,382,0,0,0,11,10,0,0,6,21,0,0,38,84,0,0,0,0,0,5,0,3,8,5,5,0,0,0,30,0,17,5,4,26,15,60,0,19,0,0,21,0,4,3,3,23,73,27,0,0,57,115,4,130,0,0,4,10,7,0,0,0,0,0,0,0,0,0,0,0,10,3,7,0,4,12,0,28,6,0,15,64,0,140,0,34,0,168,11,4,5,42,39,60,68,0,15,4,13,0,0,32,24,0,64,34,0,2135
Wentworth-Balranald Region,3,627,5,10,0,32,20,0,0,104,12,4,5,14,8,0,0,0,0,0,55,0,0,5,0,0,0,0,0,15,0,15,0,0,9,7,39,0,6,0,0,12,5,0,3,0,23,22,24,0,0,42,91,6,34,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,16,0,0,9,11,0,59,0,7,5,99,0,3,3,31,18,10,17,0,13,0,9,0,0,18,6,0,49,33,0,1678
Corowa,6,287,0,0,0,11,0,0,0,0,0,0,7,208,4,3,0,0,0,0,0,0,3,4,3,3,9,4,0,8,0,5,3,9,23,11,54,0,18,13,0,6,4,0,13,14,9,133,110,0,0,39,169,0,123,0,0,0,0,16,0,3,0,6,0,0,0,3,0,0,0,20,0,6,0,3,12,0,78,5,0,12,49,0,99,0,17,0,118,6,7,0,72,63,76,38,6,4,0,20,0,0,44,55,0,83,30,0,2292
Corowa Region,12,649,0,0,0,12,0,0,0,0,0,0,10,201,0,0,0,0,0,0,259,0,0,10,63,0,10,3,0,0,0,0,0,11,64,3,107,3,21,5,0,7,11,0,0,8,4,63,37,0,0,117,260,18,76,0,0,0,0,7,0,19,0,0,0,0,0,0,0,5,0,6,0,0,0,0,9,0,32,10,0,11,41,0,34,16,17,4,92,0,4,5,21,22,21,19,0,3,4,28,6,0,34,29,0,89,27,0,2660
Deniliquin,0,85,0,4,0,34,4,0,0,0,0,3,13,173,0,0,14,0,0,0,8,0,6,8,12,7,9,5,0,20,0,111,0,12,33,58,136,3,47,12,5,4,0,10,9,32,19,147,135,0,0,66,195,20,95,0,0,0,0,30,0,5,0,7,0,3,0,5,0,0,0,38,16,27,0,6,20,0,132,14,0,25,34,0,137,0,74,3,219,18,15,14,110,114,107,190,3,4,9,5,3,0,77,50,4,79,35,0,3205
Deniliquin Region,12,1202,4,16,0,37,0,0,0,0,0,0,6,48,11,0,15,0,0,0,0,3,4,5,7,4,8,0,0,12,0,12,6,5,25,22,39,0,20,0,0,3,6,5,4,0,13,65,59,0,0,77,217,11,66,0,0,0,0,14,0,9,0,4,0,0,0,0,0,0,0,6,3,3,0,8,9,0,36,0,0,14,37,0,116,0,9,0,113,3,12,5,22,36,61,15,3,13,0,9,0,0,26,13,0,65,43,0,2760
Moama,0,38,0,5,0,7,0,0,0,0,0,0,11,53,17,10,8,0,0,0,4,8,0,48,12,17,8,3,0,0,6,4,3,4,20,12,85,0,9,7,0,0,8,5,7,0,14,86,29,0,0,176,303,13,57,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,40,0,0,10,27,0,35,0,18,5,140,5,17,4,0,24,91,18,0,11,0,100,5,0,24,16,0,64,23,0,1790
Tocumwal - Finley - Jerilderie,17,752,0,0,0,65,0,0,0,0,0,0,12,56,5,0,6,0,0,0,5,0,9,4,3,6,16,3,0,13,0,19,8,8,27,25,100,0,26,41,0,12,0,16,10,9,33,139,81,0,0,77,250,28,112,3,0,0,0,23,3,27,0,4,0,0,0,10,0,7,0,15,0,3,0,0,20,0,72,0,0,24,40,0,106,0,23,0,210,12,13,6,75,87,127,56,0,0,5,29,3,0,80,41,0,88,49,0,3250
Armidale,7,226,0,6,0,37,0,0,0,0,0,0,19,44,9,10,17,0,6,0,5,0,7,16,8,16,11,47,0,37,0,18,30,16,171,32,322,3,71,32,4,31,20,13,39,110,36,419,742,4,4,192,758,13,122,10,0,22,0,60,16,12,0,25,35,13,0,29,3,3,4,202,28,53,0,15,106,6,565,76,0,132,179,5,431,19,150,18,958,1480,92,32,434,449,310,509,0,25,9,43,0,0,166,213,0,192,98,0,10939
Armidale Region - North,10,872,3,0,0,26,0,0,0,16,9,3,7,35,0,3,8,0,0,0,0,0,0,4,0,0,5,0,0,12,0,0,0,0,10,18,55,0,4,0,0,12,0,10,0,5,23,59,37,0,0,11,61,3,21,0,0,0,0,8,3,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,14,0,41,0,0,13,23,0,46,0,5,0,95,10,7,4,36,23,30,23,0,0,3,5,0,0,32,23,0,49,13,0,1876
Armidale Region - South,3,387,0,0,0,22,0,0,0,0,0,0,8,14,9,0,0,0,0,0,0,0,5,15,5,4,0,16,0,0,0,3,9,0,23,5,73,0,4,0,0,10,0,7,4,0,11,29,39,0,0,18,71,0,16,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,5,3,0,0,3,10,0,46,8,0,21,18,0,81,0,8,0,110,5,8,0,4,14,29,25,0,0,8,3,0,0,12,13,0,34,13,0,1333
Walcha,15,559,0,23,0,22,0,0,0,0,0,0,0,4,6,0,0,0,0,0,7,0,0,3,0,0,0,0,0,7,0,8,4,4,10,5,36,0,11,0,0,0,5,3,0,10,0,42,24,0,0,15,51,8,63,4,0,0,0,6,0,0,0,3,0,0,0,0,0,4,0,11,3,3,0,0,9,0,40,3,0,9,17,0,63,0,4,0,88,4,3,3,27,21,34,16,0,15,8,0,0,0,22,19,0,23,16,0,1416
Glen Innes,4,567,0,0,0,16,0,0,0,0,0,0,18,29,0,0,3,0,15,0,0,0,0,8,4,5,9,0,3,17,0,9,3,12,29,38,85,3,32,5,0,0,6,12,23,26,13,117,124,4,0,69,192,9,74,0,0,3,0,21,0,0,0,9,0,0,0,0,0,0,0,23,12,6,0,4,26,0,70,7,0,27,47,0,147,0,113,3,208,14,11,14,98,80,132,74,0,22,6,6,0,0,70,75,0,76,67,0,3061
Inverell,4,140,0,5,0,21,0,0,0,0,13,0,11,651,3,0,8,0,12,0,0,0,6,9,28,3,32,11,0,49,3,9,14,13,90,5,160,0,52,25,10,16,5,32,23,118,23,225,406,4,0,63,313,22,89,0,0,0,0,30,0,4,0,11,0,5,0,19,3,3,0,49,11,16,0,14,43,0,165,12,0,78,58,3,230,0,68,3,400,32,20,20,115,209,212,270,5,7,0,25,0,0,132,93,0,137,86,0,5349
Inverell Region - East,4,499,0,0,0,12,0,10,0,4,9,0,0,3,0,0,4,0,0,0,3,0,0,0,0,9,0,0,0,3,0,0,4,3,6,3,36,0,9,0,4,3,0,0,0,0,12,7,11,0,0,4,23,0,13,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,16,0,20,0,6,4,101,0,3,3,14,5,36,18,0,0,0,0,0,0,11,7,0,26,20,0,1035
Inverell Region - West,7,717,0,0,0,17,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,5,0,6,0,0,0,9,0,0,3,4,18,5,42,0,10,0,0,5,0,4,0,0,13,55,28,0,0,8,63,0,26,0,0,0,0,17,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,8,7,0,23,5,0,7,17,0,133,0,9,0,129,0,3,6,57,39,52,19,0,3,0,4,0,0,24,21,0,37,29,0,1750
Tenterfield,0,548,0,0,0,16,3,0,0,0,9,0,4,17,0,7,11,0,0,0,6,0,0,3,5,0,0,4,0,6,0,4,0,4,28,16,87,0,14,3,0,3,0,3,15,16,19,81,89,0,0,63,90,11,42,0,0,3,0,7,16,5,0,4,0,5,0,4,0,0,0,31,0,0,0,7,21,0,73,3,0,16,30,0,89,10,20,5,120,4,14,10,45,62,82,50,0,15,3,11,0,0,44,30,0,57,38,0,2143
Moree,5,122,0,0,0,51,0,4,0,0,13,0,17,23,0,3,0,0,0,0,5,0,4,5,10,17,16,7,0,19,0,11,8,14,41,39,142,0,60,59,18,4,0,8,22,69,22,136,170,0,0,79,188,5,69,0,0,4,0,26,8,29,0,12,0,5,0,10,0,0,0,81,16,11,0,10,40,0,180,16,0,60,53,3,222,0,103,6,362,32,12,17,104,114,104,134,0,5,0,20,0,0,139,79,0,133,61,0,3717
Moree Region,33,1321,0,0,0,132,0,0,0,0,0,0,6,9,0,3,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,4,5,17,5,61,0,17,0,0,0,0,0,4,7,19,16,13,0,0,12,32,4,39,0,0,9,0,7,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,14,0,0,9,22,0,24,0,11,0,120,0,3,0,8,7,9,15,0,0,0,3,0,0,19,9,0,65,29,0,2210
Narrabri,6,104,0,0,0,24,0,30,21,0,0,10,16,49,0,5,0,0,0,0,0,0,0,8,20,0,12,0,0,37,5,13,23,0,28,25,111,0,54,10,4,0,18,3,21,40,30,142,146,0,0,67,225,18,71,22,0,0,0,22,0,26,0,14,0,6,0,3,0,3,0,32,5,11,0,10,23,0,138,0,0,49,61,0,189,0,51,3,205,17,18,19,85,102,118,112,0,12,0,7,0,0,110,63,0,127,39,0,3097
Narrabri Region,26,668,5,3,0,121,0,228,0,0,7,3,0,8,0,0,0,0,0,0,12,0,4,0,0,0,4,0,0,0,0,0,0,0,5,20,44,3,38,3,0,0,0,0,8,10,16,40,24,0,0,9,34,11,51,0,0,3,0,5,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,3,5,0,113,0,0,16,14,0,20,0,11,0,105,20,3,4,29,16,31,26,0,0,3,0,0,0,47,3,0,50,29,0,2003
Gunnedah,7,56,0,0,0,13,20,181,5,0,0,10,22,83,0,57,3,0,3,0,0,0,13,18,5,0,6,3,0,14,0,6,20,9,28,43,122,5,60,39,10,5,7,7,13,52,16,173,173,0,0,62,304,8,66,73,0,4,0,25,13,7,0,12,3,4,0,3,0,5,3,47,13,7,0,16,51,0,167,8,0,60,58,0,198,0,46,0,346,16,35,11,65,132,119,160,0,0,4,7,0,0,161,88,0,104,35,0,3842
Gunnedah Region,6,715,0,0,0,48,13,758,0,3,0,60,0,25,0,3,0,0,0,0,0,14,4,0,0,3,0,0,0,0,0,3,0,0,12,4,49,0,6,11,3,0,0,4,3,0,6,12,29,0,0,23,33,0,36,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,14,0,0,18,7,0,5,0,12,4,56,5,4,0,24,19,4,9,0,0,0,3,0,0,27,0,0,43,28,0,2226
Quirindi,10,673,0,0,0,39,5,113,0,3,25,0,8,39,0,4,0,0,0,0,4,4,3,8,0,11,5,5,0,9,0,0,0,3,33,8,68,0,29,7,0,0,4,21,6,21,29,75,50,0,0,22,122,14,48,103,0,0,0,17,4,11,0,0,0,0,0,0,0,0,0,14,3,3,0,0,17,0,64,0,0,17,26,0,110,0,18,3,195,0,13,4,73,56,90,39,0,3,0,11,0,0,49,38,0,72,47,0,2652
Tamworth - East,0,101,0,0,0,6,0,0,0,0,0,0,3,335,0,5,0,0,8,5,0,0,0,6,0,7,0,4,0,128,6,9,5,9,95,21,213,0,11,40,9,4,0,0,17,55,43,380,436,0,5,115,555,10,50,0,0,0,0,38,7,0,0,4,5,30,0,3,0,0,0,29,8,17,0,6,26,0,126,14,0,91,113,0,211,0,39,7,678,14,26,19,801,201,28,292,5,0,10,44,7,0,72,109,0,111,79,0,6006
Tamworth - North,0,109,0,0,0,22,0,4,5,0,0,0,14,129,4,12,0,0,4,3,3,3,7,8,6,15,5,10,0,0,0,5,9,19,139,38,221,3,30,14,11,23,26,13,35,217,17,336,757,4,4,162,682,17,116,16,0,4,0,35,12,7,3,48,12,22,0,71,10,5,6,225,52,108,0,20,219,0,571,31,0,198,122,8,624,20,295,16,629,105,60,59,565,688,455,502,4,8,14,50,0,0,164,252,0,219,124,0,9919
Tamworth - West,0,153,0,0,0,13,0,0,0,0,8,0,72,598,15,0,59,0,18,0,3,18,46,57,60,80,76,30,0,0,9,8,35,37,117,74,371,15,131,67,65,202,0,19,28,82,13,58,216,3,0,11,88,51,401,0,6,92,0,89,23,25,0,18,3,0,0,5,0,0,0,9,8,3,0,52,9,0,55,8,0,51,59,3,80,118,95,8,216,173,35,0,4,18,3,78,3,3,0,69,0,0,320,47,0,261,82,0,5532
Tamworth Region,9,1156,5,5,0,50,3,8,0,3,26,3,7,123,4,14,19,0,4,0,3,0,0,7,10,5,0,8,0,9,3,6,10,3,60,10,195,0,16,6,0,8,0,10,11,5,19,98,99,5,0,39,113,5,80,0,0,0,0,18,4,0,0,5,3,0,0,0,0,4,4,10,0,3,0,4,25,0,106,8,0,38,74,0,73,0,18,9,278,6,28,15,105,71,85,40,0,8,8,11,0,0,44,44,0,113,48,0,3584
Belmont - Bennetts Green,0,0,0,0,4,0,13,18,0,8,3,4,42,27,0,3,23,0,5,0,3,0,0,48,119,3,15,25,0,10,3,0,5,30,181,34,394,11,9,20,0,6,6,0,19,65,8,413,485,0,4,12,582,3,106,4,0,7,0,19,7,11,0,5,0,0,0,10,0,0,0,46,10,44,0,5,95,0,209,11,0,60,51,0,96,0,215,5,441,50,52,11,474,219,163,155,0,4,4,51,3,0,153,138,0,139,47,0,5778
Belmont South - Blacksmiths,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,19,5,46,0,11,0,0,0,0,0,0,0,10,19,29,0,0,31,74,0,4,0,0,0,5,3,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,18,5,0,9,22,0,5,0,5,0,51,0,16,0,0,13,0,8,0,0,0,22,0,0,8,14,0,14,3,0,528
Charlestown - Dudley,0,9,0,0,6,0,7,52,0,0,0,16,24,245,0,17,19,3,0,4,11,0,19,21,18,0,52,7,0,18,0,0,56,32,141,41,510,0,33,38,16,15,14,15,39,95,26,411,1415,8,3,65,879,7,45,3,0,0,0,23,10,3,3,24,85,55,0,26,11,4,10,164,571,147,0,11,183,5,508,72,0,402,161,5,555,0,68,10,635,15,58,48,671,1051,173,894,3,3,18,78,5,0,192,297,0,225,114,0,12040
Glendale - Cardiff - Hillsborough,0,15,0,0,0,4,31,56,3,4,0,16,151,351,12,12,101,0,22,11,9,20,38,182,127,162,133,27,0,50,3,10,0,31,217,84,532,19,148,143,47,26,56,20,37,393,30,425,777,8,3,38,732,29,257,10,0,4,3,60,51,24,0,0,43,3,0,23,5,0,6,72,52,41,0,44,74,4,321,28,0,164,131,5,59,0,94,20,609,136,77,38,77,350,396,335,3,0,14,67,3,0,369,354,5,342,117,0,10231
